id,rated,turns,victory_status,winner,increment_code,white_id,white_rating,black_id,black_rating,opening_name,Number of moves in the opening phase
TZJHLljE,False,13,outoftime,white,15+2,bourgris,1500,a-00,1191,Slav Defense: Exchange Variation,5
l1NXvwaE,True,16,resign,black,5+10,a-00,1322,skinnerua,1261,Nimzowitsch Defense: Kennedy Variation,4
mIICvQHh,True,61,mate,white,5+10,ischia,1496,a-00,1500,King's Pawn Game: Leonardis Variation,3
kWKvrqYL,True,61,mate,white,20+0,daniamurashov,1439,adivanov2009,1454,Queen's Pawn Game: Zukertort Variation,3
9tXo1AUZ,True,95,mate,white,30+3,nik221107,1523,adivanov2009,1469,Philidor Defense,5
MsoDV9wj,False,5,draw,draw,10+0,trelynn17,1250,franklin14532,1002,Sicilian Defense: Mongoose Variation,4
qwU9rasv,True,33,resign,white,10+0,capa_jr,1520,daniel_likes_chess,1423,Blackmar-Diemer Gambit: Pietrowsky Defense,10
RVN0N3VK,False,9,resign,black,15+30,daniel_likes_chess,1413,soultego,2108,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation,5
dwF3DJHO,True,66,resign,black,15+0,ehabfanri,1439,daniel_likes_chess,1392,Italian Game: Schilling-Kostic Gambit,6
afoMwnLg,True,119,mate,white,10+0,daniel_likes_chess,1381,mirco25,1209,Scandinavian Defense: Mieses-Kotroc Variation,4
HgKLWPsz,False,39,mate,white,20+60,daniel_likes_chess,1381,anaissac,1272,Van't Kruijs Opening,1
Vf5fKWzI,False,38,resign,black,20+60,daniel_likes_chess,1381,subham777,1867,French Defense: Advance Variation |  Paulsen Attack,9
HRti5mKv,False,60,resign,black,5+40,daniel_likes_chess,1381,roman12342005,1936,French Defense: Knight Variation,3
2fEjSei6,False,31,resign,black,8+0,daniel_likes_chess,1381,alkhan,1607,French Defense #2,2
u7i6dOaJ,False,31,mate,white,15+15,shivangithegenius,1094,sureka_akshat,1141,Four Knights Game: Italian Variation,8
guanvMR5,False,43,resign,black,15+15,sureka_akshat,1141,shivangithegenius,1094,Italian Game: Two Knights Defense |  Knight Attack,7
PmpkWkmm,False,52,resign,black,15+15,shivangithegenius,1094,sureka_akshat,1141,Four Knights Game: Italian Variation,8
EwaK0IsE,False,66,mate,black,15+16,sureka_akshat,1141,shivangithegenius,1094,Four Knights Game: Italian Variation,8
yrSDozT3,False,101,resign,black,15+15,shivangithegenius,1094,slam_ment,1300,Philidor Defense #3,5
x31mXlvc,False,25,resign,white,11+0,g-ios,1500,shivangithegenius,1094,Queen's Pawn Game,2
oQklnWWp,False,14,resign,black,15+15,shivangithegenius,1094,lex_v1,1676,Italian Game: Anti-Fried Liver Defense,6
QFCZwY1f,False,3,resign,white,30+60,shivangithegenius,1094,themannichreaction,1068,Horwitz Defense,2
5cgBygpI,False,17,resign,white,15+5,storm28rus,1500,shivangithegenius,1094,Sicilian Defense: Bowdler Attack,3
UhXXBOMY,True,36,resign,white,10+0,robotsmoke,1307,shivangithegenius,1106,English Opening: King's English Variation |  Reversed Closed Sicilian,4
mCij4hBq,True,13,resign,black,10+0,shivangithegenius,1113,ivangonzalez123,1423,Sicilian Defense: Smith-Morra Gambit #2,3
ifUMWtVj,True,69,mate,white,10+10,shivangithegenius,1078,sureka_akshat,1219,Queen's Pawn Game: Chigorin Variation,4
Wf0zuLQQ,True,43,resign,white,10+10,gmcarlsen403,1825,shivangithegenius,1079,Scotch Game: Haxo Gambit,8
srz9QfSN,True,54,mate,black,10+10,mannat1,1328,shivangithegenius,1038,Queen's Pawn Game: Chigorin Variation,4
NS6ccssb,True,53,resign,black,10+10,shivangithegenius,1056,biyanivedant01,1156,Slav Defense,4
M3vpf2Ki,True,66,mate,black,10+10,shivangithegenius,1077,chinmaysharma,1148,Queen's Gambit Refused: Marshall Defense,4
fXhNOnOn,True,64,resign,black,10+10,biyanivedant01,1358,shivangithegenius,1036,Sicilian Defense: Smith-Morra Gambit #2,3
DiCTkvZH,True,64,mate,black,10+10,rv0209,1200,shivangithegenius,1002,Sicilian Defense: Canal Attack |  Main Line,6
FSkgvV2E,True,54,resign,white,10+10,vihaandumir,1203,shivangithegenius,1019,Sicilian Defense,3
F1mRjzPr,False,21,resign,black,15+3,shivangithegenius,1019,shamlanaseer,1500,Queen's Gambit Accepted: Central Variation |  Greco Variation,6
Lq24M4KQ,False,11,resign,white,18+0,medovich,1422,shivangithegenius,975,Sicilian Defense: Bowdler Attack,3
lHNM8cl5,True,19,resign,black,10+0,shivangithegenius,976,sorethea,1832,Robatsch (Modern) Defense,4
GfeEgLV3,True,28,resign,white,10+0,rico21,1569,shivangithegenius,978,Blackmar-Diemer Gambit: Tartakower Variation,10
OR6aULrW,False,22,resign,black,15+0,shivangithegenius,978,jojo58,1500,Indian Game,2
Yg006qwa,False,37,resign,white,15+0,jojo58,1500,shivangithegenius,978,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,17
G5S21pXK,False,34,resign,white,30+30,rajuppi,2449,shivangithegenius,978,English Opening: King's English Variation |  Reversed Sicilian,3
R9a2DLwe,False,32,draw,draw,20+25,white_queen_1990,1207,shivangithegenius,978,Sicilian Defense: Dragon Variation,10
r4LcBZA7,False,71,resign,black,5+5,milestretch,1241,shivangithegenius,978,Sicilian Defense: Closed Variation,3
SDDXGw21,False,30,resign,white,30+0,stephen789,1500,shivangithegenius,978,Sicilian Defense: Smith-Morra Gambit #2,3
oqoT4DLS,False,66,resign,white,40+40,rajuppi,2443,shivangithegenius,978,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Modern Line,17
eSociDPG,False,41,resign,white,20+0,hmbrgr,1500,shivangithegenius,978,Sicilian Defense: Smith-Morra Gambit #2,3
mpzYDfIK,False,49,resign,white,15+0,jjwrchess,1500,shivangithegenius,978,Sicilian Defense: Bowdler Attack,3
27zreJYy,False,3,resign,black,15+0,shivangithegenius,978,jjwrchess,1500,Scandinavian Defense,2
IRYkgI8N,False,7,resign,white,10+0,adnanraj,1343,shivangithegenius,978,Sicilian Defense: Bowdler Attack,3
tLnhk43J,False,35,mate,white,40+40,rajuppi,2436,shivangithegenius,978,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,17
iq3Kz06t,False,41,mate,white,40+40,rajuppi,2436,shivangithegenius,978,Scandinavian Defense: Mieses-Kotroc Variation,4
AAw1TiNN,False,5,resign,black,10+0,shivangithegenius,978,balkarec,1500,French Defense: Normal Variation,3
n4vRYUCW,False,7,resign,white,10+0,lucasimeon,1500,shivangithegenius,978,King's Pawn Game: Beyer Gambit,4
KYPdQv8e,False,53,mate,white,10+0,shivangithegenius,978,lucasimeon,1500,Dutch Defense,2
p30PeXvE,False,36,resign,black,10+0,lucasimeon,1500,shivangithegenius,978,English Opening: King's English Variation,2
