opening_name,winner,count
Scandinavian Defense: Mieses-Kotroc Variation,white,164
Sicilian Defense,white,149
Scotch Game,white,145
French Defense: Knight Variation,white,135
Van't Kruijs Opening,white,126
Sicilian Defense: Bowdler Attack,white,119
Van't Kruijs Opening,draw,16
Sicilian Defense,draw,15
French Defense: Knight Variation,draw,15
Sicilian Defense: Bowdler Attack,draw,13
Scotch Game,draw,11
Scandinavian Defense: Mieses-Kotroc Variation,draw,6
Van't Kruijs Opening,black,226
Sicilian Defense,black,194
Sicilian Defense: Bowdler Attack,black,164
French Defense: Knight Variation,black,121
Scotch Game,black,115
Scandinavian Defense: Mieses-Kotroc Variation,black,89
